division,name,category,subfield,location,contact,sns,description
중앙동아리,샘터야학,사회활동분과,교육봉사,구학생회관 308호,010-6242-7087,@samter_1987,"“주요활동 
샘터야학 활동은 크게 한글 교육, 기초 영어 교육, 검정고시 취득, 중·고등학생 대상 내신 대비로 이루어져 있습니다. 
중·고등학생 대상 내신대비반을 제외한 나머지 반은 모두 어르신분들로 구성이 되어있습니다. 
또한, 샘터야학 활동은 단순히 강학이 학강에게 공부를 가르치는 것 뿐만 아니라 같이 식사를 하거나 이야기를 나누면서 친목을 다지는 것 또한 포함하고 있습니다.”"
중앙동아리,5분쉼표,연행예술분과,창작가요밴드,구학생회관 131호,010-2949-7652,@5boon_shimpyo,"“주요활동
주요 활동은 총회, 정기공연, 세미나, 버스킹, 찬조공연 등이 있습니다 정기공연은 동아리 내에서 만든 자작곡을 함께 편곡하여 10곡 정도의 자작곡을 발표하는 공연이고 한 학기에 한번씩 공연을 진행하고, 한 달 정도의 기간 동안 많은 동아리원의 화합으로 만들어지는 공연입니다. 세미나는 동아리 내에서 실력 향상을 위해 선배님께서 신입생 및 활동원들을 가르쳐주는 활동입니다. 현재는 보컬, 베이스, 기타, 드럼, 키보드 세션의 세미나가 진행중입니다. 버스킹은 동아리 자작곡, 기성곡들을 합쳐서 공연을 합니다. 찬조공연은 동아리에 찬조가 들어왔을 떄 자작곡, 기성곡들을 공연합니다. 이 외에도 체육대회, MT 등 동아리의 친목을 위한 다양한 활동을 진행합니다.”"
중앙동아리,비트,연행예술분과,스트릿댄스,구학생회관 217호,010-2820-2803,@ajou_beat,"“주요활동
[교내활동 ]
- STREET DANCE : 주 2회 파트(장르)별 정기연습
- 교내외 공연참가
- 대동제/정기공연/섭외공연/버스킹 등
- 수원 5대학교 행사 천원빵 주최 및 참여”"
중앙동아리,CAPO,연행예술분과,어쿠스틱음악,구학생회관 317호,010-4819-8616,@ajou_capo,"“주요활동
정기공연, 버스킹, 음악재능기부”"
중앙동아리,Conjurer,연행예술분과,마술,신학생회관 403-1,010-3946-1502,,"“주요활동
정기 렉처를 통해 주변 지인들에게 쉽게 보여줄 수 있는 마술들을 알려주는 활동을 주로 하고 있습니다.”"
중앙동아리,GLEE,연행예술분과,합창,신학생회관 407호,010-5140-3385,,"“주요활동 
소풍, MT, 합창연습, 학기말 합창공연”"
중앙동아리,미디올로지,연행예술분과,작곡,구학생회관 218호,010-3026-8604,@midiology_official,"“주요활동
작곡교육, 작사활동, 보컬소스 녹음”"
중앙동아리,녹두벌,연행예술분과,풍물패,구학생회관 214호,010-5230-8401,@nokddubal_in_ajou,"“주요활동 
정기연습, 정기공연, 외부 행사 참여, 고창농악 전수”"
중앙동아리,마스터피스,연행예술분과,댄스,구학생회관 316호,010-2086-2151,@ajou_masterpiece,"“주요활동 
학기 중과 방학 중에 진행하는 프로젝트가 가장 주된 활동입니다. 프로젝트는 각 학기 별로 약 1~2회 진행되며 프로젝트를 진행하게 되면 각 팀 별로 정규 연습시간을 잡아 연습하고, 동아리 내부에서 평가를 진행하여 추후 다양한 무대에 참가합니다. 이 외에도 새내기 배움터나 외부 축제 등 다양한 무대를 따로 준비하여 참여하기도 합니다.”"
중앙동아리,스파이더스,연행예술분과,락밴드,구학생회관 132호,010-2245-6275,@ajou_spiders,"“주요활동
세션별 멘토멘티, 매주 진행되는 합주, 정기공연, 교내 공연, 연합 공연”"
중앙동아리,아르떼,연행예술분과,클래식기타,구학생회관 206호,010-3451-9591,@ajou_arte,"“주요활동 
1. 기타레슨 진행 - 기초부터 곡 연주까지!
2. 연간 3번 연주회”"
중앙동아리,아몽극회,연행예술분과,연극,신학생회관 403호,010-7588-4861,@amont_1976,"“주요활동
신입생 워크샵(연극), 정기공연, 신입생 교육, 창립제(OB와 함께하는) 등 기본적으로 연극을 만드는 활동들”"
중앙동아리,ZENITH,연행예술분과,대중가요,구학생회관 323호,,@ajou_zenith,"“주요활동 
학교의 주요 행사(축제, 동아리 박람회) 등에 모두 참가한다. 또한 교내 버스킹을 봄과 가을에 진행하며, 정기공연을 학기별로 한 번씩 진행한다. 학기 중에 타 단체와 교류해 보컬클래스를 통해 노래를 배우며, 방학때는 주로 노래를 녹음해 커버영상을 촬영한다. 매주 정기모임을 통해 서로의 노래를 점검하고 뒷풀이를 통해 친목을 다진다. 특히 신입부원들과 기존부원들의 화합을 중시하며, 방학 때 MT를 통해 친목을 다진다.”"
중앙동아리,CCC,종교분과,기독교,신학생회관 410호,010-4167-9751,@ajou.ccc,"“주요활동
화요정기모임, 수원지구 목요채플, 선배와의 순모임, 아침QT모임, 여름 수련회, 여름 단기선교, 겨울 수련회, 겨울 단기선교, 그리고 번개모임 가득!!”"
중앙동아리,IVF,종교분과,기독교,구학생회관 307호,010-7420-3037,@ajou_ivf,"“주요활동
1) 매주 수요일 or 목요일: 소그룹 모임
2) 격주 월요일: 경기남IVF 연합 큰모임(LGM)
3) 격주 금요일: DPM(온라인 기도모임)
4) 방학: 수련회
이처럼 함께 말씀을 연구하고 책을 읽고, 나눔을 하기도 하고, 공동체를 이뤄 서로 사랑하면서 하나님 나라 가치에 따라 대학사회에 참여합니다:)
또 FT,MT,잠을 포기하는 모임,아웃팅과 같이 서로 재밌게 즐길 수 있는 다양한 활동도 있어요!”"
중앙동아리,SFC,종교분과,기독교,구학생회관 306호,010-7662-3881,,"“주요활동
SFC에서는 어떤 활동을 하나요?
- 매주 목요일, 학교 안에서 말씀과 강의, 기도 , 교제 등을 통하여 하나님께 예배하며 기독교적 가치와 비전을 배우고 공유하는 '큰모임'
- 경기지역의 15개의 대학 SFC가 함께 모여 강의를 듣고 교제하는 '경기U모임'
- 여름엔 전국대학생대회로, 겨울엔 서울경기인천연합대학생대회와 리더십컨퍼런스로 전국에 있는 운동원들이 모여 하나님을 예배하고 말씀을 배우며 주 안에서 친밀한 교제를 나누는 '전국 SFC모임’"""
중앙동아리,아가생,종교분과,천주교,신학생회관 426호,010-5815-6085,@ajou_catholic_studentunion,"“주요활동 
매학기 개강/종강 미사를 드리고 목요일마다 수녀님과 회합을 가지고 주일미사 참례나 성지순례뿐아니라, MT나 소풍등 자유로운 활동들을 지향하고 수원에 있는 대학들의 가톨릭동아리들(!!?)끼리 모여 다양한 교류와 활동들을 합니다!”"
중앙동아리,A.SA.,창작전시분과,사진,구학생회관 304호,010-5892-1558,,"“주요활동 
1.출사 : 매주 주말 수원이나 서울 등으로 출사를 나갑니다. 다른 학과 친구들과 같은 취미활동을 하며 교류할 수 있는 기회입니다.
2.전시회 : 매년 2회 교내 전시회와 교외 전시회를 진행합니다. 나 혼자만 보던 사진을 여러 사람들 앞에 뽐낼 수 있는 기회입니다.
3.세미나 : 카메라의 3요소, 보정법, 구도 등 여러 번의 세미나를 진행하여 사진에 대해 배워갈 수 있습니다. 4.암실 : 찍은 필름 사진을 직접 암실에서 현상, 인화할 수 있습니다.”"
중앙동아리,A.va,창작전시분과,더빙,구학생회관 313호,010-9022-1695,@ajou_ava,"“주요활동 
매주 월요일과 화요일, 오후 6시 30분 성호관에서 2시간 정도 정규활동이 진행되고 있으며 주요 활동은 다음과 같습니다.

1. 애니메이션, 영화, 드라마 등 각종 컨텐츠 더빙
2. 유튜브 및 인스타그램 채널 운영
3. 발음과 발성 훈련
4. 단문 연기로 감정 표현해 보기
5. 팟캐스트 기획 및 녹음”"
중앙동아리,AD-Brain,창작전시분과,마케팅,구학생회관 303호,010-8841-5075,@ad_brain,"“주요활동
애드브레인의 활동은 정기적인 세미나를 통해 마케팅 트렌드, 마케팅 종류 등에 대해 배우며, 학우들과 다양한 아이디어를 공유합니다. 세미나에서 배운 내용을 토대로 애드브레인 내 자체 공모전과 외부 공모전, 아주대 상권 연합 광고등 다양한 활동에 참가합니다.”"
중앙동아리,AMI,창작전시분과,마술,구학생회관 312호,010-6376-9167,@ajou_ami1973,"“동아리 설명
아주대학교의 유일한 순수미술동아리입니다. 그림에 관심만 있어도 OK.
그림을 한 번도 그려보지 않은 사람들도 모두 들어올 수 있어요. 
동아리원들과 소통하면서 차근차근 알아가보면 된답니다.
 >> 미술에 관심 있는 신입생 재학생 복학생 모두 환영! 
유화, 수채화, 소묘, 오일파스텔 등 원하는 미술 재료를 동아리방에서 찾아 마음껏 그려보세요.”"
중앙동아리,고슴도치,창작전시분과,창작만화,구학생회관 229호,010-7317-4725,,"“주요활동
축제 전시용 만화 제작(연 2~3회), 연말 대자보 제작, 그림을 그리자(그림 강의)”"
중앙동아리,아론,창작전시분과,영상,구학생회관 211호,010-8397-1882,@aron._.studio,"“주요활동 
- 매 주 1회 정기모임
- 유튜브 업로드
- 각종 영상 공모전 출품
- 상업영상 촬영지원
- 영상 관련 강의(촬영, 편집 등)”"
중앙동아리,아묵회,창작전시분과,서예,신학생회관 404호,010-7600-4378,,"“동아리 설명
안녕하세요, 아주대학교 서예동아리 아묵회입니다. 저희 동아리는 1981년에 창립하였으며 연 2회의 품평회를 통해 졸업학번 선배님과도 연을 이어가고 있습니다!”"
중앙동아리,2.5g,체육분과,탁구,신학생회관 408호,010-4943-3714,@ajou__2.5g,"“동아리 설명
안녕하세요! 탁구를 좋아하는 동아리 2.5g입니다. 
저희 2.5g는 탁구를 처음 치시는 분들, 탁구에 관심이 있으신 분들, 탁구를 쳐보신 분들 모두 탁구를 즐기실 수 있습니다! 
탁구를 잘 못치셔도 잘 알려드리니 열심히 활동하시면 재밌게 즐기실 수 있습니다. 
탁구에 관심이 있으신 누구나 환영입니다~”"
중앙동아리,ABBA,체육분과,야구,구학생회관 321호,010-3162-3916,@ajou_abba_huskies,"“주요활동
야구 경기 참여, 전국대회 토너먼트 참가, 야구 기록 강습회, MT, 축제 부스 운영, 동아리 SNS관리, 사진촬영, 영상편집, 프로야구 직관, 치맥모임 등 야구와 관련된 많은 활동들을 진행하고 있습니다.”"
중앙동아리,ABC,체육분과,농구,구학생회관 302호,010-6469-1207,@ajou_basketball_club,"""주요활동
- 주 2회 19:00 ~ 22:00에 실내 체육관에서 스킬 트레이닝, 팀 훈련 및 경기를 합니다.
- 연간 활동으로 교내 ABC배 농구대회, OBYB교류전, MT등을 주최합니다.
- 훈련 외에도 주기적으로 부원들과 친목을 도모합니다.
- 구학생회관 302호에 넓고 쾌적한 동아리방이 자유롭게 사용 가능합니다.
- 동아리에서 농구공 및 기타 장비 구비 중이며, 운동복과 농구화만 챙겨오시면 됩니다.”"
중앙동아리,AFC,체육분과,축구,구학생회관 320호,010-9251-3045,@ajou_afc1976,"“주요활동
월 수 매주 정기모임 가지고 있으며 다른 학교와의 교류전 및 다양한 대회에 출전 중입니다”"
중앙동아리,ATC,체육분과,테니스,구학생회관 315호,010-6460-1505,,"“주요활동 
정기 훈련 및 뒤풀이, 대회참여 및 추가훈련”"
중앙동아리,맨차,체육분과,여자축구,신학생회관 425호,010-8336-0573,@ajou_mancha,"“주요활동
매주 2일 훈련 / 친선 경기 / 대회 출전 / MT”"
중앙동아리,아주도,체육분과,유도,구학생회관 213호,010-3899-4051,@ajoudo.213,"“주요활동
격주 토요일마다 동아리부원들과 동아리 운동을 진행합니다. 그 외에는 평일 주말 본인의 시간에 맞게 도장에 나가서 운동 할 수 있습니다. 다른 학교 유도동아리와 교류전을 하거나 합동훈련도 진행합니다. 각종 유도 대회를 나가며 수련한 본인의 실력을 마음껏 발휘할 수 있습니다.”"
중앙동아리,아주떼로,체육분과,주짓수,구학생회관 305호,010-2932-5064,@ajou_terio,"“동아리 설명
주짓수를 전문적으로 배우며 대회도 노려볼 수 있다.”"
중앙동아리,클리어,체육분과,배드민턴,구학생회관 215호,010-4856-7906,@ajou_clear,"“주요활동
운동, 자체대회, 타 대학 교류전, 전국 동아리 대회 참가, MT”"
중앙동아리,차오름,체육분과,태권도,구학생회관 322호,010-5139-9898,@ajou_tkd,"“주요활동 
태권도 - 승단 심사/겨루기/발차기/시범/품새/자격증 
합기도 - 승단 심사/겨루기/호신술/시범/자격증 
주짓수 - 호신술/스파링 “"
중앙동아리,호완,체육분과,복싱,구학생회관 210호,010-2950-6317,,"“주요활동
매년 대회에 출전하여 08년 동메달 3개,09년 은메달 1개,10년 동메달 2개, 11년 금메달 1개, 동메달 1개, 13년 동메달 1개, 15년 동메달 3개, 16년 은메달 3개 동메달 1개, 17년 은메달 2개, 18년 금메달 2개 은메달 3개 등 우수한 성적을 거두었습니다. 또한 2018년 까지 매년 서울대 복싱동아리 F.O.S.와 교류전을 열고 22년 12월에는 고려대 복싱동아리 KU BOX와 교류전을 여는 등 타 대학과의 교류를 진행했습니다.”"
중앙동아리,AJESS,학술언론분과,문화교류 및 영어회화,신학생회관 409호,010-4913-6913,,"“주요활동
AJESS는 다양한 국가의 사람들이 모여 문화를 교류하고, 고정관념을 극복하며, 서로의 생각을 나눔으로서 이상적인 글로벌 사회를 만듦을 목적으로 합니다.
The purpose of AJESS is to make ideal global society by exchanging cultures, overcoming sterotypes, and sharing ideas with people from varying countries.”"
중앙동아리,AKO,학술언론분과,화장품,구학생회관 216호,010-3933-1102,@ako_cosmetic_ajou,"“주요활동 
화장품 성분 분석 및 코스매틱 박람회 방문과 플래그쉽/팝업스토어 방문을 진행하며 관련 업계에 계신 여러 현직자들을 초청하여 강연을 진행하고 있습니다. 화장품 공장을 견학하는 방문 활동 부터 직접 향수 및 화장품을 만들어보는 다양한 범위의 활동을 진행합니다. 또한 활동 후 친목도모 활동도 진행하므로 부담없고 재미있는 활동을 제공합니다!”"
중앙동아리,BUT,학술언론분과,영상,구학생회관 314호,010-4066-7555,@ajou_but,"“주요활동
프리미어 프로 편집 스터디, 포토샵 스터디, 기획스터디, 장비 스터디, 동아리 내 공모전, 영상 프로젝트, 연말 영상제”"
중앙동아리,시사문제강독회,학술언론분과,시사토론,구학생회관 222호,010-6643-0129,@sigang_ajou,"“주요활동
1. 정기세미나: 세상의 여러 이슈들을 정리하고 서로의 생각을 공유하며 사회에 대한 시선을 넓혀갑니다.
2. 동아리 특별활동: 영화 토론, 밸런스 게임, 강연회 등 세미나를 보충할 수 있는, 재밌으면서도 한 번쯤 짚어볼 의미가 있는 주제들을 다룹니다.
3. 동아리 모임: 소풍, MT, 홈커밍데이”"
준동아리,WESKI,,스키,,010-2303-6580,@ajou_weski,
준동아리,샤토 아주,,와인,,010-7676-7566,@chateau_ajou,
준동아리,Friends Club,,교환학생 문화교류,,010-8309-8563,@ajou_friends_club,
준동아리,애프터씬,,영화,,010-2409-6954,@ajou_afterscene,
준동아리,더블에이,,팔씨름,,010-3736-8536,@double_ajou,
